model,variant,benchmark,bench_key,facet,value
Qwen3-8B,Base,HarmBench,harmbench,contextual,45.92
Qwen3-8B,Base,HarmBench,harmbench,standard,87.5
Qwen3-8B,DPO,HarmBench,harmbench,contextual,30.61
Qwen3-8B,DPO,HarmBench,harmbench,standard,78.0
Qwen3-8B,ReSo,HarmBench,harmbench,contextual,65.66
Qwen3-8B,ReSo,HarmBench,harmbench,standard,95.0
Qwen3-8B,ReSo-shuffle,HarmBench,harmbench,contextual,52.04
Qwen3-8B,ReSo-shuffle,HarmBench,harmbench,standard,88.0
Qwen3-8B,Base,DeceptionBench,deceptionbench,economy,48.61
Qwen3-8B,Base,DeceptionBench,deceptionbench,education,59.72
Qwen3-8B,Base,DeceptionBench,deceptionbench,entertainment,34.44
Qwen3-8B,Base,DeceptionBench,deceptionbench,healthcare,53.34
Qwen3-8B,Base,DeceptionBench,deceptionbench,social,37.5
Qwen3-8B,DPO,DeceptionBench,deceptionbench,economy,26.94
Qwen3-8B,DPO,DeceptionBench,deceptionbench,education,52.23
Qwen3-8B,DPO,DeceptionBench,deceptionbench,entertainment,20.28
Qwen3-8B,DPO,DeceptionBench,deceptionbench,healthcare,48.33
Qwen3-8B,DPO,DeceptionBench,deceptionbench,social,23.89
Qwen3-8B,ReSo,DeceptionBench,deceptionbench,economy,76.67
Qwen3-8B,ReSo,DeceptionBench,deceptionbench,education,76.11
Qwen3-8B,ReSo,DeceptionBench,deceptionbench,entertainment,63.88
Qwen3-8B,ReSo,DeceptionBench,deceptionbench,healthcare,66.11
Qwen3-8B,ReSo,DeceptionBench,deceptionbench,social,59.16
Qwen3-8B,ReSo-shuffle,DeceptionBench,deceptionbench,economy,58.34
Qwen3-8B,ReSo-shuffle,DeceptionBench,deceptionbench,education,68.05
Qwen3-8B,ReSo-shuffle,DeceptionBench,deceptionbench,entertainment,46.39
Qwen3-8B,ReSo-shuffle,DeceptionBench,deceptionbench,healthcare,62.5
Qwen3-8B,ReSo-shuffle,DeceptionBench,deceptionbench,social,47.5
Qwen3-8B,Base,OpenRT,openrt,actorattack,82.5
Qwen3-8B,Base,OpenRT,openrt,artprompt,84.17
Qwen3-8B,Base,OpenRT,openrt,autodan,74.17
Qwen3-8B,Base,OpenRT,openrt,autodan_r,71.53
Qwen3-8B,Base,OpenRT,openrt,cipherchat,91.25
Qwen3-8B,Base,OpenRT,openrt,coa,98.75
Qwen3-8B,Base,OpenRT,openrt,codeattack,53.33
Qwen3-8B,Base,OpenRT,openrt,crescendo,58.33
Qwen3-8B,Base,OpenRT,openrt,deepinception,92.08
Qwen3-8B,Base,OpenRT,openrt,drattack,46.0
Qwen3-8B,Base,OpenRT,openrt,flipattack,97.92
Qwen3-8B,Base,OpenRT,openrt,gcg,91.67
Qwen3-8B,Base,OpenRT,openrt,gptfuzzer,70.42
Qwen3-8B,Base,OpenRT,openrt,ica,99.17
Qwen3-8B,Base,OpenRT,openrt,jailbroken,88.33
Qwen3-8B,Base,OpenRT,openrt,laa,22.92
Qwen3-8B,Base,OpenRT,openrt,mousetrap,92.08
Qwen3-8B,Base,OpenRT,openrt,multilingual,99.58
Qwen3-8B,Base,OpenRT,openrt,pair,72.92
Qwen3-8B,Base,OpenRT,openrt,pasttense,82.5
Qwen3-8B,Base,OpenRT,openrt,prefill,94.58
Qwen3-8B,Base,OpenRT,openrt,race,89.58
Qwen3-8B,Base,OpenRT,openrt,redqueen,96.25
Qwen3-8B,Base,OpenRT,openrt,renellm,15.42
Qwen3-8B,Base,OpenRT,openrt,seqar,44.58
